AmbientRoomTemperature,ElapsedTime,LongitudinalForce,LateralForce,NormalForce,InclinationAngle,OverturningMoment,AligningTorque,WheelRotationalSpeed,NormalizedLongitudinalForce(FX/FZ),NormalizedLateralForce(FY/FZ),TirePressure,EffectiveRadius,LoadedRadius,RoadSurfaceTemperature,SlipAngle,SlipRatioTextbook,SlipRatioBasedOnRL,TireSurfaceTemperature-Center,TireSurfaceTemperature-Inboard,TireSurfaceTemperature-Outboard,RoadSpeed,testid,tireid,Index
78.62,1056.834,-2.08,-267.42,-101.49,0.004,0.45,5.41,0.09,0.0205,2.635,10.04,43812.24,7.8,93.48,8.401,-0,-0.9998,127.52,127.08,127.95,24.94,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",27618
78.6,1056.844,-1.35,-267.38,-102.42,-0.009,0.48,4.65,0.16,0.0132,2.6106,10.02,25420.1,7.8,93.49,8.453,-0,-0.9997,127.46,127.01,128.03,24.93,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",27619
78.58,1056.854,-0.63,-264.34,-102.33,0.012,1.09,3.69,0.09,0.0062,2.5833,10.03,43823.11,7.8,93.48,8.483,-0,-0.9998,127.48,127.06,128.09,24.95,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",27620
78.6,1056.864,0.43,-258.99,-100.68,-0.003,1.5,2.94,0.09,-0.0042,2.5724,10.04,43827.74,7.8,93.48,8.53,-0,-0.9998,127.4,127.1,128.07,24.96,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",27621
78.62,1056.874,0.88,-253.26,-98.53,0.004,2.39,2.26,0.09,-0.009,2.5704,10.04,43853.89,7.8,93.5,8.568,-0,-0.9998,127.46,127.15,128.01,24.97,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",27622
78.58,1056.884,1.8,-249.2,-95.87,0.004,2.73,2.94,0.09,-0.0188,2.5992,10.02,43829.47,7.8,93.53,8.602,-0,-0.9998,127.52,127.21,127.93,24.96,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",27623
78.59,1056.894,1.67,-248.39,-94.83,-0.002,3.59,3.31,0.03,-0.0176,2.6192,10.03,158219.77,7.8,93.56,8.651,-0,-1,127.61,127.28,127.83,24.97,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",27624
78.61,1056.904,0.8,-250.76,-94.21,0.009,3.27,3.95,0.09,-0.0085,2.6618,10.04,43890.8,7.79,93.56,8.685,-0,-0.9998,127.78,127.41,127.77,25,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",27625
78.6,1056.914,-0.33,-255.1,-95.02,0.006,2.82,4.5,0.09,0.0034,2.6846,10.04,43886.67,7.8,93.58,8.719,-0,-0.9998,127.93,127.54,127.83,25,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",27626
78.58,1056.924,-1.36,-260.08,-96.01,0.004,1.1,5.07,0.09,0.0142,2.7088,10.04,43881.49,7.8,93.6,8.762,-0,-0.9998,128.08,127.63,127.81,25,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",27627
