AmbientRoomTemperature,ElapsedTime,LongitudinalForce,LateralForce,NormalForce,InclinationAngle,OverturningMoment,AligningTorque,WheelRotationalSpeed,NormalizedLongitudinalForce(FX/FZ),NormalizedLateralForce(FY/FZ),TirePressure,EffectiveRadius,LoadedRadius,RoadSurfaceTemperature,SlipAngle,SlipRatioTextbook,SlipRatioBasedOnRL,TireSurfaceTemperature-Center,TireSurfaceTemperature-Inboard,TireSurfaceTemperature-Outboard,RoadSpeed,testid,tireid,Index
79.3,760.343,-4.95,-333.69,-209.04,0.012,11.74,28.84,0.25,0.0237,1.5963,12,16888.61,7.61,97.31,3.443,-0,-0.9995,141.3,140.77,138.36,25,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",21721
79.27,760.353,-3.53,-331.81,-209.55,0.003,12.02,28.96,0.11,0.0168,1.5834,12.09,37579.1,7.61,97.33,3.392,-0,-0.9998,141.21,140.66,138.42,25.01,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",21722
79.29,760.363,-2.64,-329.48,-208.53,0.007,11.34,28.6,0.11,0.0126,1.58,12.22,37588.82,7.61,97.33,3.363,-0,-0.9998,141.21,140.57,138.34,25.01,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",21723
79.31,760.373,-2.25,-326.22,-206.67,0.009,10.89,28.22,0.11,0.0109,1.5784,12.34,37564.39,7.61,97.33,3.314,-0,-0.9998,141.15,140.51,138.28,25,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",21724
79.28,760.383,-2.7,-322.03,-204.55,0.013,10.72,27.58,0.11,0.0132,1.5743,12.41,37548.49,7.61,97.34,3.27,-0,-0.9998,141,140.4,138.22,24.98,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",21725
79.27,760.393,-3.84,-317.97,-203.26,0.004,10.65,27.16,0.18,0.0189,1.5643,12.41,23274.11,7.62,97.36,3.234,-0,-0.9997,140.96,140.29,138.12,24.97,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",21726
79.3,760.403,-4.81,-314.1,-203.24,0.012,11.18,27.47,0.11,0.0237,1.5455,12.33,37507.53,7.61,97.36,3.193,-0,-0.9998,140.89,140.26,138.1,24.96,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",21727
79.3,760.413,-5.59,-310.85,-203.51,0.013,11.41,28.11,0.32,0.0275,1.5274,12.2,13216.2,7.61,97.35,3.17,-0,-0.9994,140.87,140.26,138.12,24.94,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",21728
79.28,760.423,-6.15,-308.22,-204.64,0.012,11.45,28.68,0.04,0.0301,1.5062,12.06,96735.52,7.62,97.34,3.127,-0,-0.9999,140.74,140.2,138.28,24.96,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",21729
79.29,760.433,-6.47,-306.83,-206.59,0.007,11.02,28.88,0.18,0.0313,1.4852,11.97,23255.69,7.62,97.33,3.077,-0,-0.9997,140.63,139.96,138.42,24.94,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",21730
